longitude,latitude
85.1579756097561,22.031849024390244
86.2019830859375,22.7906515234375
85.48617475,22.767852
86.38065321428572,22.041431785714284
85.66249783783783,23.349625405405405
86.63360346938775,22.669509387755102
86.21689615384615,22.361756923076925
85.55516896551724,22.487353103448275
86.7929364,22.255557200000002
85.219655,22.287861111111113
85.17954833333333,22.87869611111111
85.47943256410255,23.260778717948718
86.37094372093023,22.536128139534885
86.02000173913044,23.28281739130435
85.40124976190477,22.20080857142857
85.27526333333333,23.20906888888889
85.32859145833334,22.488055
85.65755375,22.9146196875
86.84302848484849,22.060030606060607
85.86488461538461,22.282813076923077
86.61845777777778,23.318177777777777
86.08559818181818,22.80666077922078
86.54194948717948,22.35210435897436
85.324337,22.01693025
85.13364941176471,22.64519588235294
85.81804833333334,23.539676666666665
86.81365382978723,22.452817021276594
85.69172575757575,22.571638181818184
86.73856,22.806942666666668
85.40310777777778,23.54552
85.09850394736843,22.195119210526315
86.51209162162162,22.793184864864866
86.56267052631578,22.01141263157895
85.49864846153847,22.028949230769232
85.6419044117647,22.386098529411765
85.94793846153846,22.084453846153846
85.409886,22.9217528
86.41588894736842,22.23144157894737
86.33675205882354,22.75342705882353
85.93949588235294,22.58697588235294
85.04824142857142,23.563925714285716
86.1876125,22.04697
85.30922649122807,22.691803859649124
86.16985333333334,23.14548
85.10723647058823,23.204905882352943
85.90278571428571,22.901442857142857
85.2480895,22.159743
85.47460558823529,22.332076470588234
85.04697243243244,22.068374324324324
85.94780705882353,23.491530588235292
